timestamp,delta,theta,loAlpha,hiAlpha,loBeta,hiBeta,loGamma,midGamma
1476251879,16034474,294914,411440,11184644,8389126,1075114,11142272,132567
1476251879,1575415,4981986,15728754,131380,6422935,12976400,16449668,14811264
1476251883,1575584,10879332,9109989,14614901,2818567,15598004,5439718,4587609
1476251884,1575220,1967364,5046283,8126554,12845056,0,0,0
1476251885,1576682,15270171,786479,8650814,14417950,3932198,8781843,327685
1476251886,1581562,2490831,15990835,13369416,983040,0,0,0
1476251887,1574158,3997785,14876912,10747938,12779584,5832725,6946824,11010057
1476251888,1581126,6292257,11272397,2031702,10485798,2424862,851977,3276807
1476251889,1577996,11468975,12386375,13172784,9502749,3735623,0,0
1476251890,1574513,11468942,4718792,15925290,15204564,917584,4325388,1114121
1476251891,1577841,16515237,10747930,6619166,14811154,5701641,5701634,14155777
1476251892,1575482,7143720,13631509,983110,6357089,4194381,3932175,13893632
1476251893,1579905,787334,13959186,5701869,5963991,9961643,11468861,13107237
1476251895,1573128,2490539,4653138,852045,1769506,2293787,4653061,8192002
1476251896,1576224,10617328,4260139,9502793,8323127,5767208,2293792,10420243
1476251897,1576448,0,0,0,0,0,0,0
1476251898,1575163,1442044,983431,2490499,1572995,14876745,9633894,3735594
1476251899,1574350,15663343,12976222,5374034,11534402,524340,6881310,327715
1476251900,1573001,3408111,0,0,0,0,0,0
1476251901,1573740,3014854,9175062,15138849,12189704,14549003,12451845,2752523
1476251902,1575050,7996148,8389007,6029538,16646213,14417940,9568273,4980760
1476251903,1574698,8257571,12189762,3670016,0,0,0,0
1476251904,1578191,10618207,16318508,3473545,9240745,15532079,7143438,11468816
1476251905,1577324,11796984,13041744,15532112,11468888,13828131,1507347,5570569
1476251906,1580284,10879537,3080354,15335448,1507328,0,0,0
1476251907,1573153,589931,10485818,12648507,12255245,8257544,4718594,7995395
1476251908,1573791,15270208,9240664,11010074,2097178,10027029,589838,12189709
1476251909,1577919,10486086,1114246,4980782,6750320,13959315,0,0
1476251910,1573581,6094919,5832741,6160405,9699341,7012361,14417922,10289156
1476251911,1574327,13697149,15925268,16253074,1572903,16121893,1376289,655380
1476251912,1573970,4981179,10289192,12714101,16449582,6619229,8716310,3407872
1476251913,1573676,720998,1900562,5111817,3604497,16384013,1048584,13565957
